type,input_length,original_size(GB),prefill_time(s),decode_time(s),prefill_throughput(GB/s),decode_throughput(GB/s)
quantizer,15360,1.875,0.0149,0.0079,125.71,238.35
quantizer,16384,2.0,0.0155,0.0082,128.79,242.98
quantizer,17408,2.125,0.0208,0.0089,102.08,239.56
quantizer,18432,2.25,0.0172,0.0096,130.74,234.83
quantizer,19456,2.375,0.0181,0.0103,131.1,231.61
quantizer,20480,2.5,0.019,0.0111,131.69,225.61
quantizer,21504,2.625,0.0198,0.0115,132.42,228.3
quantizer,22528,2.75,0.0207,0.0124,133.15,222.55
quantizer,23552,2.875,0.0216,0.0131,132.8,219.93
quantizer,24576,3.0,0.0226,0.0138,132.61,217.41
quantizer,25600,3.125,0.0237,0.0149,131.88,210.15
quantizer,26624,3.25,0.0247,0.0157,131.68,206.68
quantizer,27648,3.375,0.0259,0.0168,130.32,201.36
quantizer,28672,3.5,0.027,0.0177,129.77,197.74
quantizer,29696,3.625,0.0282,0.0186,128.34,195.0
quantizer,30720,3.75,0.0295,0.0197,127.29,190.34
quantizer,31744,3.875,0.0309,0.0208,125.38,186.73
quantizer,32768,4.0,0.0321,0.0216,124.48,185.08
